cscore,avg(pos),avg(neg)
26,0.3532490187527257,0.8938072394243349
29,0.35801838610827375,0.8942798774259448
964,0.2857142857142857,0.7142857142857143
474,0.2631578947368421,0.9473684210526315
-91,0.375,0.875
1697,0.0,1.0
1950,1.0,0.0
2250,1.0,1.0
2040,0.0,1.0
1806,0.0,1.0
-251,1.0,0.5
1677,0.0,1.0
65,0.34320323014804843,0.9098250336473755
3806,0.3333333333333333,1.0
191,0.31,0.94
558,0.4166666666666667,1.0
541,0.25,1.0
418,0.21052631578947367,1.0
2906,0.0,1.0
1010,0.3333333333333333,1.0
5241,1.0,1.0
1258,0.0,1.0
2173,0.0,1.0
3800,1.0,1.0
3061,0.0,1.0
1224,0.0,1.0
1277,0.3333333333333333,1.0
3280,0.0,1.0
1360,0.0,1.0
222,0.20689655172413793,0.9482758620689655
293,0.34,1.0
938,0.0,1.0
-109,0.5,0.6666666666666666
270,0.423728813559322,0.9491525423728814
-58,0.5535714285714286,0.8035714285714286
1127,0.3333333333333333,0.6666666666666666
730,0.2222222222222222,0.6666666666666666
1409,0.75,1.0
1551,0.3333333333333333,1.0
1145,0.0,1.0
8872,0.0,1.0
1371,0.0,1.0
2184,0.0,0.0
2570,0.0,1.0
278,0.32653061224489793,0.9183673469387755
243,0.3333333333333333,0.9583333333333334
367,0.38461538461538464,0.8846153846153846
1175,0.0,1.0
2030,0.0,1.0
442,0.2857142857142857,1.0
1463,0.0,1.0
4519,0.0,1.0
705,0.14285714285714285,0.8571428571428571
10205,0.0,1.0
-261,0.0,0.0
1202,0.6666666666666666,1.0
5850,0.0,1.0
720,0.3333333333333333,1.0
2598,0.5,1.0
2944,1.0,0.0
19,0.3596135496183206,0.8967080152671756
54,0.33488805970149255,0.9160447761194029
-159,0.2,0.8
1671,0.3333333333333333,1.0
296,0.4523809523809524,0.9047619047619048
1782,0.0,1.0
965,0.0,1.0
926,0.5,1.0
7233,0.0,1.0
1217,0.5,1.0
1447,0.0,1.0
6297,0.0,1.0
4552,0.0,1.0
0,0.40022303929687414,0.859407952123842
277,0.4166666666666667,0.9166666666666666
287,0.2608695652173913,0.9565217391304348
348,0.3333333333333333,1.0
415,0.47058823529411764,1.0
6361,0.5,1.0
1336,1.0,1.0
847,0.0,1.0
-193,0.0,1.0
1077,0.0,1.0
2940,1.0,1.0
8493,1.0,1.0
2157,0.0,1.0
2244,1.0,1.0
656,0.25,1.0
502,0.29411764705882354,0.9411764705882353
1480,0.0,1.0
1055,0.3333333333333333,1.0
3302,0.0,1.0
113,0.3382899628252788,0.9405204460966543
-3,0.4251706791232483,0.8365073661516349
155,0.31451612903225806,0.9435483870967742
-30,0.47774480712166173,0.827893175074184
831,0.16666666666666666,1.0
112,0.38492063492063494,0.9126984126984127
167,0.362962962962963,0.9037037037037037
299,0.35135135135135137,0.9459459459459459
1042,0.3333333333333333,1.0
-135,0.5,0.5
736,0.3333333333333333,1.0
385,0.5,0.8333333333333334
-118,0.42857142857142855,0.8571428571428571
7139,1.0,1.0
2364,0.0,1.0
1882,0.0,1.0
-35,0.4034334763948498,0.8369098712446352
237,0.34210526315789475,0.9605263157894737
564,0.5555555555555556,1.0
602,0.4166666666666667,0.8333333333333334
241,0.35714285714285715,0.8928571428571429
347,0.3,0.9
588,0.2857142857142857,1.0
857,0.5,0.8333333333333334
1983,0.0,1.0
1497,0.0,1.0
2660,0.0,1.0
1636,0.0,1.0
8320,1.0,1.0
22,0.3645166328283617,0.8945806653131345
198,0.4044943820224719,0.9325842696629213
414,0.3333333333333333,0.8571428571428571
330,0.26666666666666666,0.9555555555555556
1711,0.0,1.0
724,0.375,0.875
-141,0.6666666666666666,0.3333333333333333
2488,0.0,1.0
1640,0.5,1.0
530,0.42857142857142855,0.8571428571428571
1526,0.0,1.0
1241,0.0,1.0
2681,0.0,1.0
2317,0.0,1.0
1905,1.0,1.0
7392,0.0,1.0
1211,0.0,1.0
130,0.3459715639810427,0.909952606635071
-60,0.3508771929824561,0.7543859649122807
1972,0.3333333333333333,1.0
196,0.3655913978494624,0.946236559139785
1157,1.0,1.0
2277,0.0,1.0
486,0.35294117647058826,1.0
1050,0.5,1.0
487,0.29411764705882354,0.8823529411764706
1428,0.0,1.0
932,0.0,0.6666666666666666
2828,1.0,1.0
427,0.21428571428571427,1.0
3821,0.0,1.0
1403,1.0,1.0
1059,0.3333333333333333,1.0
823,0.3333333333333333,0.6666666666666666
2439,1.0,1.0
1152,0.5,1.0
7,0.3618371919342793,0.8949672226371256
-25,0.45871559633027525,0.8165137614678899
77,0.3675675675675676,0.8972972972972973
1527,0.6666666666666666,1.0
677,0.3,1.0
1353,0.6666666666666666,1.0
2720,0.5,1.0
1979,0.5,1.0
3489,0.0,1.0
2775,0.0,1.0
3243,0.0,1.0
1873,0.0,1.0
2983,0.0,1.0
-209,0.0,1.0
2007,1.0,1.0
34,0.3535044044427422,0.9042512447338185
184,0.3211009174311927,0.9357798165137615
635,0.125,1.0
858,0.4444444444444444,0.8888888888888888
532,0.25,0.9166666666666666
1041,0.0,1.0
5275,0.0,1.0
1887,0.5,1.0
1540,0.0,1.0
4179,0.0,1.0
2961,0.0,0.0
1687,1.0,1.0
3311,1.0,1.0
-49,0.43137254901960786,0.803921568627451
1471,0.0,1.0
463,0.2777777777777778,0.8888888888888888
551,0.2727272727272727,0.8181818181818182
3031,0.0,1.0
853,0.3,0.9
830,0.0,1.0
939,0.0,1.0
1200,0.2,1.0
1319,1.0,0.5
2309,0.0,1.0
7566,0.0,0.0
1460,1.0,1.0
-190,0.6666666666666666,0.3333333333333333
-65,0.4423076923076923,0.8076923076923077
188,0.41,0.89
399,0.3548387096774194,0.9032258064516129
1199,0.25,1.0
1052,0.2,1.0
1458,0.0,1.0
3092,0.5,1.0
3692,0.0,1.0
2807,0.0,1.0
1483,0.3333333333333333,1.0
693,1.0,1.0
6250,0.0,1.0
2643,0.0,1.0
2684,1.0,1.0
3326,0.0,1.0
126,0.3163265306122449,0.9387755102040817
228,0.484375,0.953125
274,0.34146341463414637,0.8780487804878049
202,0.40540540540540543,0.972972972972973
1768,1.0,1.0
1730,0.0,1.0
529,0.2857142857142857,1.0
844,0.25,0.75
2370,0.0,1.0
889,0.0,0.5
13264,1.0,1.0
-7,0.4451320132013201,0.8310643564356436
406,0.4117647058823529,0.8823529411764706
325,0.28125,0.9375
262,0.3492063492063492,0.8412698412698413
624,0.16666666666666666,1.0
1899,0.0,1.0
998,0.0,1.0
1694,0.5,1.0
1567,0.0,1.0
691,0.2222222222222222,0.7777777777777778
570,0.3,1.0
-95,0.5625,0.5
